Référence Article;Désignation Article;Qté Stock Réel;CMUP Unitaire;Montant Stock (CMUP)
8000882;EMBOUT ISOLEE 1.5MM2;100;0,08;8
800104-70021;RUBAN PERFORE METRIQUE;1;135,13;135
800560;"RX.DE MILLE REPERE ""O""";1;20;20
800561;"RX DE MILLE REPERE ""1""";1;20;20
800566;"RX.DE MILLE REPERE ""6""";1;20;20
800568;"RX.DE MILLE REPERE ""8""";1;20;20
800569;"RX.DE MILLE REPERE ""9""";1;20;20
800582;"RX DE MILLE REPERE ""2""";1;20;20
800583;"RX.DE MILLE REPERE ""3""";1;20;20
800584;"RX DE MILLE REPERE ""4""";1;20;20
800585;"RX.DE MILLE REPERE ""5""";1;20;20
800587;"RX.DE MILLE REPERE ""7""";1;20;20
800864/O;BARRE FLEXIBLE  3X20X1;2;405;810
800FP-F3PX10;BOUTON MARCHE COMPLET;2;78,28;157
8315;GRAVEUR;1; 1 546,54;1 547
8338;SOUFLETTE;1;180,38;180
8440-401;ENROULEUR A HUILE+FLEX10M;18; 2 123,9406;38 231
8440-501;ENROULEUR GRAISSE+FLEX12M;13; 2 145,4631;27 891
8499;MARTEAU BURINEUR;2; 3 763,49;7 527
8500;MARTEAU BURINEUR;4; 2 061,97;8 248
850NFP;ROULETTES;111;22,0569;2 448
8520;PERCEUSE;1;922,05;922
8615;ETALONNAGE COMPTEUR GPL;2; 62 092,4;124 185
870391646;STATOR;0;0;0
8708;FLEXICOMPT DN80-25 Nø414;1; 38 806,11;38 806
8761001;BIELLE PR 13I10;3; 2 746,42;8 239
87762-1649;STATOR PR 13I10 (36625);9; 2 477,0178;22 293
880021;COUSSINET DE BIELLE K22;8;56,81;454
880035;CLAPET;18;16,6;299
880217;SEGMENT HUILEUR B.P;13;53,39;694
880244;CLAPET LAMELLE HP K50;2;19,72;39
880305;PISTON K50;2;233,26;467
880356;CLAPET BP K22;17;14,25;242
880360;PISTON BP K22;3;245,99;738
880374;JOINT;2;25,75;52
880382;JOINT K100;8;48,22;386
880386;COUSSINET DE BIELLE;13;91,32;1 187
880388;DOUILLE K50;4;53,69;215
880391;AXE B.P;5;49,65;248
880392;AXE POUR K50/K100;11;61,71;679
880394;PISTON BP K50 D 120;4;721,39;2 886
880395;SEGMENT RACLEUR;9;30,64;276
880396;SEGMENT RACLEUR K50-K100;4;108,45;434
880397;SEGMENT HUILEUR;20;30,41;608
880398;SEGMENT HUILEUR K50-K100;5;74,2;371
880399;ANNEAU DE COMPRESSIONK100;45;23,16;1 042
880-417;COLLECTEUR K50;1;438,92;439
880419;JOINT K100;6;25,35;152
880444;JOINT NIVEAU HUILE;18;7,08;127
880452;PISTON AP;2;441,73;883
880462;VOLANT PR K22;1;648;648
880469;PISTON HP K22;2;298,94;598
880604;JOINT K100;20;35,06;701
880614;COUSSINET K100;7;131,28;919
880635;BIELLE COMPLETTE K100;5;375,86;1 879
881050;COLLECTEUR K30;1;249,52;250
88630;BAC ANTIGOUTTE;15;210,77;3 162
8973035123;GROUPE GUARNCOMPL B6000;3;216,97;651
900024;CABLE U500 SV 01.5MM2 NOIR;100;1,65;165
90075;EXCENTRIQUE;2;795,87;1 592
90085-081;CORPS DE DOSEUR;2;850,5;1 701
90103;RONDELLE PLATE;6;52,24;313
90815;AXE POMPE;3;450;1 350
91404;FLEXIBLE 1/4 4M;1;141;141
92006;SPACER;8;131,42;1 051
92757-4;BILLE;12;439,45;5 273
92757-6;BILLE;6;131,21;787
92776;SIEGE;4;698,09;2 792
92876;SPACER;12;59,06;709
92877;WASHER;1;58,58;59
92973-B;MEMBRANE;3;155,78;467
93085;SPOOL REP. 111;2;143,89;288
93097-1;BILLE;12;57,07;685
93098-1;SIEGE;12;16,7;200
93100-E;BALLES SANTOPRENE;12;120,89;1 451
93101;RACCORDS;3;235,62;707
93106;SUPPORT;1;384,85;385
93110;SILENCIEUX;6;110,33;662
93111;DIAPHRAGME 1/2;4; 1 361,55;5 446
93139;SILENCIEUX;1;382,12;382
93250;SPACER;7;134,78;943
93251;WASHER;8;52,8;422
93278-4;CLAPET;6;291,24;1 747
93309-1;PISTON;1;763,67;764
93358-4;CLAPET;8;750,81;6 006
93363-1;JOINT;4;97,84;391
93364-1;JOINT;2;105,09;210
93729G;VOLANT;1;130,62;131
93921;ROD SEAL;1;236,17;236
94020180101;"SOUPAPE DE RESPIRATION 10"" CORPS EN ALU INTERNE ET CHAPEAU EN ALU";0;0;0
94085;"SILENCIEUX POUR POMPE 2""";-1;0;0
94090-T;" MEMBRANE PTFE PR PD30 3"" ";4; 3 611,73;14 447
94091-A;KIT PR POMPE;4; 1 034,82;4 139
94102;COUPELLE;2;95,55;191
94103T;CLAPET;4; 1 741,91;6 968
94104A;SIEGE;4;174,34;697
94104-G;SIEGE CLAPET;6;167,34;1 004
94110-A;MEMBRANE SANTOPRENE;6; 1 214,95;7 290
94117;FILTRE SILENCIEUX;2;630,63;1 261
94234;RONDELLE PLATE;6;82,93;498
94310;SPOOL;17;699,75;11 896
94328-A;SIEGE;10;175,79;1 758
94329-A;MEMRANE;1;483,96;484
94329-G;MEMBRANE GEOLAST;2;429,84;860
94330-A;" MEMBRANE SANTOPRENE 2""   ";7;628,77;4 401
94355TT;" MEMBRANE PTFE PD20 2""    ";10; 3 145,69;31 457
94385;AXE/SURPRESSEUR A GRAISSE;1;150;150
94397;RETAINER RING;0;0;0
94400;ECROU/CLAPET;9;50;450
94402;FILTRE;0;0;0
94403;PISTON;12;354,19;4 250
94446;AXE SURPRESSEUR GRAISSE;2;882,01;1 764
94518;RONDELLE;30;159,01;4 770
94617;MEMBRANE TEFLON;6; 1 938,22;11 629
94785;WASHER;2;20,73;41
94786;PIN;0;0;0
9544C;JOINT EPAISSEUR 1.5 DIAM.1.5MX1.5M;1;420;420
95673;" SIEGE ALU POMPE 2""       ";2;470,78;942
96164;CONTRE MEMBRANE;4;338,22;1 353
96165-T;MEMBRANES;4; 2 105,57;8 422
9625161;GAINE;1;535,68;536
9625179;GAINE PR 13I10;7;472,3571;3 307
96391A;" MEMBRANE SANTOPRENE 2""PRO";3;598,18;1 795
96392-T;" MEMBRANE PTFE 2""         ";3; 1 644,7567;4 934
96393-A;MEMBRANE;6;417,1417;2 503
96420;SPACER;2;166,51;333
96421;SPOOL;1; 1 054,18;1 054
96475-A;MEMBRANE;8;882,3;7 058
96476T;MEMBRANES;2; 4 606,36;9 213
98723-2;SLEEVES;4;233,66;935
993-502;FLEXIBLE A GRAISSE;1;210,77;211
A11B16PH;DOME MANOL ROND PHOSPHATE;0;- 70 300;-70 300
A42;VIS D'AXE;1;4,69;5
A42K45;KIT 5 VIS AXE GACHETTE;6;23,47;141
A70;COURROIE;2;45;90
ABH1QQL6D3;" FLEXIBLE 6M 3"" ALU       ";82; 1 283,375;105 237
ABH2CC1;" FLEXIBLE 3M3"" MAL.BSP ALU";30;994,6117;29 838
ABH2QQ15;" FLEXIBLE 5M3""+2RAC.SYM.AL";37; 1 139,1441;42 148
ABHQQ15L3D3;" FLEXIBLE ALU 3M 3""RAC.SYM";2;839,5;1 679
ABJ1GG1;" FLEXIBLE 6""              ";1; 7 141,05;7 141
ACC42-55;ACCOUPLEMENT TRASCO 42-55;1;660;660
ACCPOMPE;ACCOUPLEMNT POUR POMPE;-1;0;0
ACO_21001L;ELEMENT POUR AVGAS;2; 1 217,065;2 434
ACO-40901;ELEMENT VELCON ;0;0;0
ADF-B5;MOTEUR ELECTRIQUE ADF;1; 8 000;8 000
ADV-310-10K;AIGUILLE INOX 10;14;137,96;1 931
ADV-310-14K;AIGUILLE INOX 14;9;125,4;1 129
ADV-310-16K;AIGUILLES INOX 16;2;118,22;236
ADV-401-K;ENSEMBLE VALVE D'AIR;16;296,6138;4 746
ADV-6-K;KIT BOUTON REGLAGE AIGUILLE;15;78,3527;1 175
ADV-7-K;RACCORD PRODUIT;10;91,54;915
ADV-G430-13;PISTOLET GRAVITE;1; 1 771,1;1 771
ADV-G513-13;PISTOLET DE GRAVITE;3; 2 087,8533;6 264
ADV-P430-14;PISTOLET ADVANCE 1.4;6; 4 153,8183;24 923
ADV-P513-10;PISTOLET PRESSSION ADVANCE;-5;945,208;-4 726
ADV-P513-14;PISTOLET ADVANCE PRESSION 14;8; 1 869,1425;14 953
ADV-S430-16;PISTOLET DE PEINTURE 1.6;30; 2 002,2703;60 068
ADV-S443-16;PISTOLET ADVANCE A GODET 1.6;37; 1 829,6841;67 698
AEHA3105ABAFU1B0;POMPE A CANAL LATERAL;2; 36 468,015;72 936
AGG19K5;KIT DE 5 ETOUPES;5;84,96;425
AGG39;JOINT;2;10,78;22
AGG403;VALVE;12;177,09;2 125
AGG88K5;JOINT DE BAGUE;13;193,41;2 514
AGGA405;ETOUPE;2;46,16;92
AGGS29;ECROU DE MAINTIEN;1;52,69;53
AGGS420DE;AIGUILLE INOX;2;173,62;347
AGGS420FF;AIGUILLE;6;162,54;975
AGIPRO-250;AGITATEUR AV MOTEUR ELECTRIQUE  0.37KW-280TR/MN INOX 316L;2; 10 521,075;21 042
AGMD-119;JOINT COBRA 2;1;2,69;3
AGMD-119-K5;KIT DE 5 JOINTS COBRA2;3;13,46;40
AGMD-119-K50;KIT DE 50 JOINTS;1;121,49;121
AGMD-93;JOINT TORIQUE;4;81,69;327
AGMD-93-K5;KIT DE 5 JOINTS;6;368,59;2 212
AGP-406;KIT ETOUPE EMAILLERE;1;125,21;125
AGT-402-DEEE;AIGUILLE INOX TRAITE;1;310,92;311
AGT-403;BAGUE DEFLECTRICE;8;525,8725;4 207
AGX2-2-K;KIT VIS ECROU;5;207,44;1 037
AGX-402-FF;AIGUILLE;9;169,37;1 524
AGX_7K2;KIT 2 ETOUPES;7;172,23;1 206
AGX9K;KIT PISTON ET JOINT;2;433;866
AIB136;JUPE EN ALU DN80;9;79,05;711
AIB153;JOINT CX DN80;29;55,34;1 605
AKHA5101ABAF;POMPE A CANAL LATERAL AV MOTEUR ADF 4KW 1500TR 400/690V;0;0;0
AMP/F.60/3;MOTOREDUCTEURS COAXIAUX;2; 13 500;27 000
ANALYSAPI+BJ;ANALYSEUR API+BJ AV RACCORD;1; 14 513,23;14 513
ARMOIRE;ARMOIRE DEMARRAGE GROUPE;0;0;0
ART41260;ROUE GONFLABLE DIAM.260;2;75;150
ART-HUILE;ARRET D'HUILE;0;0;0
ART-URGENCE;ARRET D'URGENCE;-1;0;0
ASPI.77L;ASPIRATEUR EAU POUSSIERE;0;0;0
ATT103X200AF;ROULETTES ATT103X200 AVEC FREIN;2;169,11;338
ATT80/AX200AF;ROULETTES ATT 80/A DIAM.200 FIXE;2;82,91;166
AV11492;MONTAGE CLAPET DE FOND;2; 4 893,37;9 787
AV115ACK;BUSE NITRURE 2.8;1;294,25;294
AV-1239704;CALOTTE DE CHAPEAU AIR;4;342,76;1 371
AV-1239765;CALOTTE DE CHAPEAU;5;387,81;1 939
AV-1239797;CALOTTE DE CHAPEAU AIR;3;403,31;1 210
AV-1239799;CHAPEAU D'AIR;3;321,8;965
AV1415ACK;BUSE CARBURE;5; 1 945,924;9 730
AV1415DK;BUSE 2.2 CARBURE;15; 1 726,5087;25 898
AV1415EEK;BUSE CARBURE;1;797,09;797
AV1920FFK;BUSE BP INOX 1.4;4;225,09;900
AV1K5;KIT JOINT DE BUSE;0;0;0
AV2115EXK;BUSE INOX 1.8 ALITE L;1;224,73;225
AV40-24;CHAPEAU D'AIR;2;437,735;875
AV-4239-30;CHAPEAU D'AIR AVEC BAGUE;5;439,03;2 195
AV-645-AC;BUSE INOX 2.8;51;292,4643;14 916
AV-645-D;BUSE INOX 2.2 (AV1915);0;-0,01;0
AV-645-EX;BUSE INOX 1.8;17;273,57;4 651
AV-645-FF;BUSE 1.4 INOX;15;448,4273;6 726
AV-645-FX;BUSE 1.1 INOX;5;463,882;2 319
AXE_RESS;AXE RESSORT A LAME;4;21,76;87
AXEROUE;AXE DE ROUE  PR CHARIOT;4;100;400
B090;COURROIE;1;107;107
B11B16PH;DOME MANOL OVAL BOULONNE;5; 3 224,37;16 122
B125;POULIE IPL;1;180;180
B12X20;FLEXIBLE DE LAVAGE 20M;-1;720;-720
B12X210;FLEXIBLE DE LAVAGE LG:10M;-20;412,5;-8 250
B180X140X76;BOITE ETANCHE 180X140X76;1;19,5;20
B30X30X3;BARRE CORNIERE 30X30X3;27;7,2;194
B355;POULIE;1;620;620
B40X40X4;BARRE CORNIERE 40X40X4;60;7,2;432
B50X50XEP3MM;BARRE EN CORNIER 50X50 EPAISSEUR 3MM;16;7,2;115
B5168;" BOUCHON BRONZE 3""        ";3;281,21;844
B5-2/3ADF;MOTEUR ELECTRIQUE 1.5KW;2; 2 500;5 000
B58;COURROIE;0;55;55
B59;COURROIE;0;116;116
B61;COURROIE B61 ;0;0;0
B62;COURROIE;-1;0;0
B64;COURROIE;0;120;120
B70;COURROIE;3;70;210
BAA105;" RACC.CAMLOCK ALU A200 2"" ";19;143;2 717
BAA106;RACC.CAMLOCK ALU A250;2;175;350
BAA107;" RACC.CAMLOCK ALU A300 3"" ";11;51,82;570
BAA110;"RACCORD CAMLOCK ALU A600 6""";47;182,0004;8 554
BAC105;"RACCORD CAMLOCK ALU C200 2""";13;52,5208;683
BAC110;"RACCORD CAMLOCK ALU C600 6""";32;359,0475;11 490
BAD107;" RACC.CAMLOCK ALU D300 3"" ";3;167,23;502
BAD110;"RACCORD CAMLOCK ALU D600 6""";47;372,7047;17 517
BAE105;"RACCORD CAMLOCK ALU E200 2""";13;27,3231;355
BAE110;"RACCORD CAMLOCK ALU E600 6""";32;319,1838;10 214
BARRAGEMOUSSE4;"BARRAGE A MOUSSE POUR PROTECTION INCENDIE 4""";0;0;0
BARRECDE;BARRE DE CDE A DISTANCE;-3;0;0
BARR.MOUSSE;BARRAGE A MOUSSE;-1; 11 313,7;-11 314
